[ 2013-04-03T05:36:35+00:00 ] /trunk/index.php?app=Auth&mod=User&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T05:36:35+00:00 ] /trunk/index.php?app=Auth&mod=User&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T13:36:35+08:00 ] /trunk/index.php?app=Auth&mod=User&act=index | SQL:  RunTime:0.034376s SQL = SHOW COLUMNS FROM ts_group_user
[ 2013-04-03T13:36:35+08:00 ] /trunk/index.php?app=Auth&mod=User&act=index | SQL:  RunTime:0.008369s SQL = SHOW COLUMNS FROM ts_user
[ 2013-04-03T13:36:35+08:00 ] /trunk/index.php?app=Auth&mod=User&act=index | SQL:  RunTime:0.023655s SQL = SHOW COLUMNS FROM ts_group
[ 2013-04-03T13:36:35+08:00 ] /trunk/index.php?app=Auth&mod=User&act=index | SQL:  RunTime:0.016878s SQL = SELECT taUser.id AS uid,taUser.name AS name,taUser.nickname AS nickname,taUser.email AS email,taUser.create_time AS create_time,taUser.update_time AS update_time,taUser.status AS status,taGroup.id AS gid FROM ts_group_user Group_user  JOIN ts_user taUser ON taUser.id=Group_user.user_id  JOIN ts_group taGroup ON taGroup.id=Group_user.group_id
[ 2013-04-03T13:36:35+08:00 ] /trunk/index.php?app=Auth&mod=User&act=index | NOTIC: [8] Undefined variable: catid 192596ae7ec42aceec1991aec03a31db.php 第 9 行.
[ 2013-04-03T05:37:17+00:00 ] /trunk/index.php?app=Auth&mod=User&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T05:37:17+00:00 ] /trunk/index.php?app=Auth&mod=User&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T13:37:17+08:00 ] /trunk/index.php?app=Auth&mod=User&act=index | SQL:  RunTime:0.004798s SQL = SHOW COLUMNS FROM ts_group_user
[ 2013-04-03T13:37:17+08:00 ] /trunk/index.php?app=Auth&mod=User&act=index | SQL:  RunTime:0.007331s SQL = SHOW COLUMNS FROM ts_user
