[ 2013-04-07T05:56:27+00:00 ] /trunk/index.php?app=Content&mod=Category&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:27+00:00 ] /trunk/index.php?app=Content&mod=Category&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-07T13:56:27+08:00 ] /trunk/index.php?app=Content&mod=Category&act=index | NOTIC: [2] Missing argument 5 for getChildTree(), called in D:\Zend\Apache2\htdocs\trunk\apps\content\Lib\Action\CategoryAction.class.php on line 76 and defined extend.php 第 2484 行.
[ 2013-04-07T13:56:27+08:00 ] /trunk/index.php?app=Content&mod=Category&act=index | SQL:  RunTime:0.004499s SQL = SHOW COLUMNS FROM ts_category
[ 2013-04-07T13:56:27+08:00 ] /trunk/index.php?app=Content&mod=Category&act=index | SQL:  RunTime:0.001593s SQL = SELECT * FROM `ts_category` WHERE ( `status` = 1 ) ORDER BY sort
[ 2013-04-07T13:56:27+08:00 ] /trunk/index.php?app=Content&mod=Category&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-07T13:56:27+08:00 ] /trunk/index.php?app=Content&mod=Category&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-07T13:56:27+08:00 ] /trunk/index.php?app=Content&mod=Category&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-07T13:56:27+08:00 ] /trunk/index.php?app=Content&mod=Category&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-04-07T05:56:30+00:00 ] /trunk/index.php?app=Content&mod=Content&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:30+00:00 ] /trunk/index.php?app=Content&mod=Content&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-07T13:56:30+08:00 ] /trunk/index.php?app=Content&mod=Content&act=index | NOTIC: [8] Undefined variable: catid 8f6bf3910aef9bf122902c179809c981.php 第 9 行.
[ 2013-04-07T05:56:30+00:00 ] /trunk/index.php?app=content&mod=Content&act=welcome | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:30+00:00 ] /trunk/index.php?app=content&mod=Content&act=welcome | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-07T05:56:30+00:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:30+00:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
