[ 2013-04-03T04:48:56+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T04:48:56+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T12:48:56+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.010689s SQL = SHOW COLUMNS FROM ts_member
[ 2013-04-03T12:48:56+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.017411s SQL = SELECT COUNT(id) AS tp_count FROM `ts_member` LIMIT 1 
[ 2013-04-03T12:48:56+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: list 27e93efa9cc9d68081dcbff867a0ac25.php 第 17 行.
[ 2013-04-03T12:48:56+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: page 27e93efa9cc9d68081dcbff867a0ac25.php 第 29 行.
[ 2013-04-03T04:52:32+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T04:52:32+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T12:52:32+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.004571s SQL = SHOW COLUMNS FROM ts_member
[ 2013-04-03T12:52:32+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.001449s SQL = SELECT COUNT(id) AS tp_count FROM `ts_member` LIMIT 1 
[ 2013-04-03T12:52:32+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: list 27e93efa9cc9d68081dcbff867a0ac25.php 第 17 行.
[ 2013-04-03T12:52:32+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: page 27e93efa9cc9d68081dcbff867a0ac25.php 第 29 行.
[ 2013-04-03T04:52:34+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T04:52:34+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T12:52:34+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.004159s SQL = SHOW COLUMNS FROM ts_member
